task,seed,bert_real_macro,bert_shuf_macro,bag_lr_macro
calltype,0,0.49629779461937445,0.4528320956320965,0.2935754398508583
calltype,1,0.4884667325104502,0.4702159140691528,0.2965986827880817
calltype,2,0.47741016899916333,0.4515367978988849,0.2933579245757144
calltype,3,0.4971816053437452,0.47023472185509757,0.2916308016511557
calltype,4,0.47668655506178276,0.4457218638720789,0.29009611552086195
caller,0,0.6160015288443186,0.576456068884261,0.41220340178584414
caller,1,0.6118879637228352,0.5937595288382457,0.41003713003393627
caller,2,0.6040774364198884,0.5789915804245296,0.4143408509421952
caller,3,0.6219731178730494,0.5818054553939144,0.408401006901047
caller,4,0.6069789859410226,0.5798328397651098,0.40950072069715004
