tokenizer,seed,real_bpt,real_acc1,shuf_bpt,shuf_acc1
kmeans30,0,4.2711043032531375,0.1266583595983288,4.314658198534272,0.11141244594297442
kmeans30,1,4.2240996077091655,0.13859014088174787,4.274201086832,0.12663732715293874
kmeans30,2,4.092335581569017,0.17293200706196443,4.12500882659171,0.16655901476984025
kmeans30,3,4.169635297634401,0.1514140977012957,4.210382766712709,0.1392714405722577
kmeans30,4,4.197699766050253,0.13672617952021596,4.239817445969086,0.12488496226762379
ssl30,0,2.93668022871117,0.37227882430550463,2.9794119836394306,0.3592318405042879
ssl30,1,2.9757637491190563,0.37207364391552306,3.0228055852165125,0.36006874820968204
ssl30,2,2.9190203266348735,0.405373982689575,2.9533259602699,0.3972354992894975
ssl30,3,2.7740438783128694,0.4189343991039381,2.8036356788164083,0.4118066339128885
ssl30,4,2.739358076640603,0.4233388551444874,2.7634892589923,0.41496410822749863
